Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity
"(0, 10]",0.204697987,0.072147651,0.132432432,0.46990172,0.004914005,0.373157248,0.483445946,0.120945946,0.100689655
"(10, 20]",0.157718121,0.042505593,0.137583893,0.44295302,0.007016473,0.348993289,0.442281879,0.079530201,0.018394649
"(20, 30]",0.179194631,0.116331096,0.167449664,0.574435631,0.029591214,0.397193411,0.432885906,0.06442953,0.073489933
"(30, 40]",0.10735786,0.018115942,0.082274247,0.399209486,0.113408331,0.319245971,0.499665552,0.068227425,0.097993311
"(40, 50]",0.13557047,0.024888143,0.052013423,0.287065284,0.086028066,0.324588164,0.393288591,0.02114094,0.1
"(50, 60]",0.098996656,0.025727069,0.002348993,0.387351779,0.087564609,0.467619337,0.437458194,0.05819398,0.134563758
"(60, 70]",0.117449664,0.047658863,0.047157191,0.29652227,0.110738255,0.570164735,0.354026846,0.051342282,0.139464883
"(70, 80]",0.155704698,0.114373602,0.043624161,0.428615009,0.083892617,0.399023795,0.247651007,0.07147651,0.07852349
"(80, 90]",0.129765886,0.044035674,0.048160535,0.35451505,0.101550623,0.313165096,0.291638796,0.02006689,0.069127517
"(90, 100]",0.195302013,0.111017897,0.081543624,0.447223917,0.058877364,0.414582062,0.380201342,0.061744966,0.071571906
"(100, 110]",0.533557047,0.05704698,0.070469799,0.495729103,0.20347773,0.415802318,0.481543624,0.061744966,0.163758389
"(110, 120]",0.477926421,0.017558528,0.002341137,0.54180602,0.229857099,0.42201277,0.335785953,0.059197324,0.14261745
"(120, 130]",0.435234899,0.2200783,0.167785235,0.573215375,0.332214765,0.491458206,0.513422819,0.143959732,0.375250836
"(130, 140]",0.223825503,0.055089485,0.009395973,0.404209884,0.130567419,0.324893228,0.177181208,0.075503356,0.131543624
"(140, 150]",0.271906355,0.05574136,0.001003344,0.286409243,0.059592581,0.218911523,0.119397993,0.055518395,0.104026846
"(150, 160]",0.218120805,0.018176734,0.000671141,0.272727273,0.031116534,0.059792556,0.056375839,0.023154362,0.087625418
"(160, 170]",0.204026846,0.060961969,0.002013423,0.128431971,0.028065894,0.086638194,0.180536913,0.013422819,0.101342282
"(170, 180]",0.108695652,0.002787068,0.000334448,0.109151718,0.017026452,0.169960474,0.06722408,0.013377926,0.048657718
"(180, 190]",0.152013423,0.000838926,0.003020134,0.134228188,0.034777303,0.20195241,0.018791946,0.009395973,0.048829431
"(190, 200]",0.077516779,0.019854586,0.001006711,0.146549103,0.035997559,0.151006711,0.154849498,0.010367893,0.032214765
"(200, 210]",0.018729097,0.004180602,0.001672241,0.171446004,0.034356947,0.061416844,0.135234899,0.005704698,0.060535117
"(210, 220]",0.013758389,0.008389262,0.006375839,0.312080537,0.059182428,0.109823063,0.141946309,0.005369128,0.043288591
"(220, 230]",0.140802676,0.011705686,0.008695652,0.2395865,0.098206142,0.128306476,0.127759197,0.005685619,0.063087248
"(230, 240]",0.147986577,0.007270694,0.001342282,0.220866382,0.016168395,0.092434411,0.104040404,0.003691275,0.065217391
"(240, 250]",0.151342282,0.001957494,0.012080537,0.287980476,0.007016473,0.164124466,0.106734007,0.001677852,0.018791946
"(250, 260]",0.157190635,0.000278707,0.002675585,0.407722712,0.086652478,0.100030404,0.12006689,0.001337793,0.111073826
"(260, 270]",0.158053691,0.000559284,0,0.287675412,0.05552166,0.11409396,0.114141414,0.003355705,0.115384615
"(270, 280]",0.15,0.010626398,0,0.238560098,0.033557047,0.130872483,0.059395973,0.016107383,0.055369128
"(280, 290]",0.161538462,0.016164994,0.002006689,0.098510185,0.019458802,0.127698389,0.019397993,0.014715719,0.06442953
"(290, 300]",0.096979866,0.011744966,0,0.224832215,0.012812691,0.170225747,0.165100671,0.000671141,0.030100334
"(300, 310]",0.093959732,0.001957494,0.000671141,0.197681513,0.011897498,0.153447224,0.073154362,0.012416107,0.04295302
"(310, 320]",0.139130435,0.007246377,0.002675585,0.190331408,0.061720888,0.160535117,0.133110368,0.003010033,0.015771812
"(320, 330]",0.173825503,0.012863535,0,0.220256254,0.093044539,0.131177547,0.110067114,0.003691275,0.014046823
"(330, 340]",0.125838926,0.009228188,0,0.091519219,0.071384991,0.138804149,0.096655518,0.003355705,0.041275168
"(340, 350]",0.177926421,0.020345596,0,0.078139252,0.08604439,0.147765278,0.087919463,0.001337793,0.038795987
"(350, 360]",0.124496644,0.016498881,0.00704698,0.089383771,0.127821843,0.108907871,0.094630872,0.016442953,0.018456376
"(360, 370]",0.04916388,0.00083612,0.016442953,0.094557616,0.12861052,0.238370325,0.089966555,0.014715719,0.008389262
"(370, 380]",0.008724832,0.000559284,0,0.180597926,0.077791336,0.18395363,0.159731544,0.012751678,0.013043478
"(380, 390]",0.005369128,0,0.002348993,0.129042099,0.043319097,0.299267846,0.135234899,0.00033557,0.022818792
"(390, 400]",0.060535117,0,0,0.012465795,0.064761326,0.231681362,0.041137124,0.001003344,0.033892617
"(400, 410]",0.04261745,0.000838926,0.004362416,0.085723002,0.039353264,0.151921904,0.033892617,0.000671141,0.048160535
"(410, 420]",0.110067114,0.000279642,0.001006711,0.052165955,0.010982306,0.210799268,0.075167785,0,0.013087248
"(420, 430]",0.389297659,0.055183946,0.04180602,0.327455154,0.155366373,0.418364244,0.315050167,0.159531773,0.043288591
"(430, 440]",0.297315436,0.005872483,0.03590604,0.399328859,0.223306894,0.483831605,0.264765101,0.186577181,0.09632107
"(440, 450]",0.306375839,0,0.003355705,0.476815131,0.214460037,0.456070775,0.188552189,0.090939597,0.008724832
"(450, 460]",0.267892977,0.007246377,0.005685619,0.425053208,0.220735786,0.366068714,0.141137124,0.072575251,0.008361204
"(460, 470]",0.263210702,0,0,0.254484646,0.203172666,0.437214959,0.117785235,0.006020067,0.030872483
"(470, 480]",0.161409396,0.007246377,0.002356902,0.361500915,0.162055336,0.388956681,0.234228188,0,0.013043478
"(480, 490]",0.19295302,0.004753915,0,0.414276998,0.175106772,0.433496034,0.177926421,0,0.04295302
