Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity
"(0, 10]",0.147766323,0.09996876,0.011830635,0.102155576,0.207747579,0.074329502,0.123103448,0.306185567
"(10, 20]",0.246579507,0.116144725,0.016168395,0.0611128,0.235025844,0.096618357,0.149498328,0.236789298
"(20, 30]",0.204087858,0.110433191,0.033862111,0.014643075,0.167175107,0.131618195,0.119127517,0.284899329
"(30, 40]",0.159548505,0.093341441,0.029492247,0.028370958,0.02928615,0.094388703,0.149832776,0.283946488
"(40, 50]",0.250228033,0.080231849,0.014643075,0.021891152,0.077531164,0.135346756,0.125503356,0.327852349
"(50, 60]",0.23123856,0.090909091,0.022574741,0.040878585,0.042098841,0.160328113,0.221812081,0.320805369
"(60, 70]",0.253876558,0.072666464,0.014290058,0.035573123,0.005776832,0.332590115,0.120401338,0.218060201
"(70, 80]",0.269981696,0.111958511,0.022574741,0.092434411,0.053996339,0.225950783,0.179865772,0.279530201
"(80, 90]",0.27699817,0.160768761,0.037397385,0.105552166,0.052776083,0.17114094,0.160738255,0.255033557
"(90, 100]",0.249315901,0.137731833,0.019829164,0.11492855,0.03861356,0.146042363,0.087959866,0.231438127
"(100, 110]",0.208663819,0.096400244,0.007931666,0.140024405,0.018303844,0.126771066,0.083892617,0.27147651
"(110, 120]",0.118059793,0.130262355,0.003344482,0.067419158,0.016778523,0.23191648,0.112751678,0.330536913
"(120, 130]",0.533596838,0.325630891,0.166870043,0.39708118,0.216783217,0.455964326,0.410367893,0.553846154
"(130, 140]",0.136973764,0.120500305,0.052165955,0.024710189,0.061317877,0.116331096,0.085234899,0.231208054
"(140, 150]",0.090909091,0.107077486,0.032532685,0.005186089,0.021659549,0.088739746,0.019798658,0.193624161
"(150, 160]",0.086348434,0.096077835,0.012202563,0.001520219,0.018546671,0.045336306,0.013712375,0.124080268
"(160, 170]",0.112873703,0.080231849,0.010372178,0.004270897,0.007016473,0.05033557,0.067114094,0.125503356
"(170, 180]",0.10585723,0.105247102,0.003040438,0.046674802,0.017083588,0.044369873,0.061538462,0.199331104
"(180, 190]",0.123441776,0.10124658,0.006406345,0,0.013986014,0.016350799,0.027181208,0.118456376
"(190, 200]",0.035387431,0.097010372,0.005491153,0.007321538,0.015558267,0.051081283,0.01442953,0.137919463
"(200, 210]",0.017938583,0.094253573,0.001216175,0.001216175,0.026755853,0.115942029,0.026755853,0.153177258
"(210, 220]",0.070469799,0.092129347,0.005796217,0.001220256,0.003660769,0.02945563,0.023489933,0.132885906
"(220, 230]",0.088163514,0.087248322,0.000608088,0.001220256,0.002135448,0.048844146,0.074832215,0.051342282
"(230, 240]",0.02736394,0.093949529,0.002135448,0.004560657,0.020674977,0.014492754,0.062541806,0.110033445
"(240, 250]",0.039658328,0.079926785,0.000610128,0.022879805,0.009151922,0.006711409,0.013422819,0.176510067
"(250, 260]",0.067724222,0.097010372,0,0.010677242,0.056741916,0.048844146,0.012751678,0.074161074
"(260, 270]",0.050471268,0.101550623,0.000610128,0.01611432,0.082395865,0.029357116,0.021404682,0.072909699
"(270, 280]",0.04881025,0.067724222,0,0.000610128,0.114704088,0.016405667,0.013422819,0.088255034
"(280, 290]",0.044844417,0.090909091,0.00243235,0.010677242,0.055216595,0.016032811,0.017449664,0.025503356
"(290, 300]",0.095773791,0.084524171,0.003660769,0.013377926,0.024323503,0.021553326,0.028762542,0.103344482
"(300, 310]",0.004270897,0.093654667,0,0.015558267,0.023489933,0.023489933,0.02147651,0.080201342
"(310, 320]",0.002135448,0.092739475,0.003040438,0.005186089,0.025320317,0.022371365,0.010067114,0.11442953
"(320, 330]",0.003952569,0.094557616,0.002745577,0.013073883,0.048647005,0.02006689,0.005685619,0.118394649
"(330, 340]",0.016168395,0.088163514,0.00152532,0.005186089,0.008541794,0.054436987,0.010067114,0.162751678
"(340, 350]",0.001520219,0.092733354,0.002128306,0.001520219,0.002128306,0.044221479,0.02173913,0.136120401
"(350, 360]",0.007016473,0.090909091,0.003965833,0.000305064,0.017388652,0.043251305,0.025838926,0.061409396
"(360, 370]",0.007016473,0.092739475,0.002135448,0.006711409,0.04057352,0.02945563,0.005704698,0.16409396
"(370, 380]",0.061416844,0.095165704,0.000304044,0.006080876,0.04986318,0.030843553,0.023076923,0.057525084
