Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity
"(0, 10]",0.289188178,0.440465259,0.224579125,0.451576577,0.272635135,0.009290541,0.137304251,0.053386211,0.002440513
"(10, 20]",0.277404922,0.313605857,0.222483221,0.576435496,0.122818792,0.031040268,0.062360179,0.095790116,0
"(20, 30]",0.28038777,0.45271507,0.172147651,0.567114094,0.154362416,0.002936242,0.104306488,0.068639414,0
"(30, 40]",0.278335191,0.419276376,0.131772575,0.612411743,0.148494983,0.007107023,0.084169454,0.002128306,0.003648525
"(40, 50]",0.304996271,0.403599756,0.232550336,0.620059657,0.090604027,0.001258389,0.085850112,0.017083588,0.002745577
"(50, 60]",0.319583798,0.41519219,0.222483221,0.564845782,0.22114094,0.008779264,0.118847875,0.027150702,0
"(60, 70]",0.271066368,0.369717239,0.170568562,0.57792692,0.189297659,0.003355705,0.109531773,0.01368197,0.001216175
"(70, 80]",0.252796421,0.270896888,0.14261745,0.64541387,0.233892617,0.001258389,0.07606264,0.008541794,0.02928615
"(80, 90]",0.243403939,0.369109152,0.180936455,0.578595318,0.176923077,0.00083612,0.150501672,0.009729401,0.007321538
"(90, 100]",0.134601044,0.375533862,0.169798658,0.559284116,0.08557047,0.004194631,0.082774049,0.003355705,0.006384919
"(100, 110]",0.126025354,0.375838926,0.191275168,0.619686801,0.145637584,0.003355705,0.061800895,0,0.003660769
"(110, 120]",0.108138239,0.299787169,0.173578595,0.602378298,0.11638796,0.006270903,0.069119287,0,0.003344482
"(120, 130]",0.258389262,0.445088469,0.465436242,0.665548098,0.182214765,0.065436242,0.205536913,0.1171446,0.023184869
"(130, 140]",0.208053691,0.486577181,0.353691275,0.551454139,0.163758389,0.017197987,0.210290828,0.028065894,0.004881025
"(140, 150]",0.264214047,0.411675281,0.249498328,0.646228168,0.141137124,0.022157191,0.168338907,0.055944056,0.003952569
"(150, 160]",0.371364653,0.417632703,0.291610738,0.604772558,0.113087248,0.038171141,0.11409396,0.043319097,0.007931666
"(160, 170]",0.292692021,0.320622331,0.227181208,0.535048471,0.123825503,0.007550336,0.100111857,0.032336791,0.000305064
"(170, 180]",0.295800818,0.296138644,0.243478261,0.528428094,0.080602007,0.012123746,0.117335563,0.001824263,0.003040438
"(180, 190]",0.294929157,0.274557657,0.339932886,0.702833706,0.110402685,0.035234899,0.061521253,0.011592434,0.004270897
"(190, 200]",0.28896346,0.197681513,0.217114094,0.582683017,0.09295302,0.020973154,0.073825503,0.010677242,0.022574741
"(200, 210]",0.276848755,0.225296443,0.21638796,0.49813572,0.09632107,0,0.058528428,0.004560657,0.015506233
"(210, 220]",0.348620433,0.215070165,0.210402685,0.646159582,0.114765101,0.007550336,0.074915825,0.002135448,0.006711409
"(220, 230]",0.264214047,0.248707814,0.193311037,0.499814195,0.093645485,0.002926421,0.093120805,0.00152532,0.003660769
"(230, 240]",0.246830723,0.242830995,0.169463087,0.538777032,0.096644295,0.000838926,0.077759197,0.004256613,0.005472788
"(240, 250]",0.172259508,0.277303234,0.198322148,0.572706935,0.025838926,0.001677852,0.036073826,0.004270897,0
"(250, 260]",0.260869565,0.289449681,0.203344482,0.574879227,0.012040134,0.005434783,0.090301003,0.004864701,0.010033445
"(260, 270]",0.21103654,0.326418548,0.215100671,0.482475764,0.124496644,0.003775168,0.066834452,0,0.018913972
"(270, 280]",0.198359433,0.323367907,0.116107383,0.555182699,0.175838926,0.002516779,0.072147651,0.001830384,0.001220256
"(280, 290]",0.211445559,0.278504105,0.098996656,0.56187291,0.155852843,0.006270903,0.080546265,0.000912131,0.000608088
"(290, 300]",0.263236391,0.220866382,0.156375839,0.512304251,0.125838926,0.002097315,0.045861298,0.000915192,0.000305064
"(300, 310]",0.227442207,0.331604637,0.154697987,0.497017151,0.103355705,0,0.039149888,0.007626602,0
"(310, 320]",0.092159049,0.350258437,0.133779264,0.423634337,0.085953177,0.002926421,0.092809365,0.040437823,0
"(320, 330]",0.149515287,0.336485662,0.137919463,0.397464579,0.096308725,0.000838926,0.07606264,0.004881025,0
"(330, 340]",0.058538404,0.360280659,0.186912752,0.393363162,0.081208054,0.001258389,0.015659955,0.003050641,0.000305064
"(340, 350]",0.149758454,0.299787169,0.205016722,0.309550353,0.102341137,0,0.005295429,0.007601095,0
"(350, 360]",0.155480984,0.319707138,0.061073826,0.342654735,0.044630872,0.000838926,0.020134228,0.000610128,0.000305064
"(360, 370]",0.138238573,0.330191548,0.044816054,0.35451505,0.040133779,0.001672241,0.009228188,0,0
"(370, 380]",0.205070843,0.325503356,0.069798658,0.439224459,0.038926174,0.000838926,0.011705686,0.006993007,0
"(380, 390]",0.210290828,0.321232459,0.110067114,0.51043997,0.066442953,0.000419463,0.003355705,0.003050641,0
"(390, 400]",0.17911557,0.32076619,0.058528428,0.544035674,0.08729097,0.004598662,0.009754738,0.000304044,0
"(400, 410]",0.241610738,0.271812081,0.154362416,0.495898583,0.085234899,0.002936242,0.020693512,0,0
"(410, 420]",0.164802386,0.145820622,0.151006711,0.406785981,0.094966443,0.000419463,0.008389262,0,0
