Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity
"(0, 10]",0.195563886,0.120962199,0.00890411,0.082161824,0.001145475,0.089655172,0.08862069,0.004467354
"(10, 20]",0.07479477,0.112374582,0.005369128,0.120401338,0.000278707,0.071571906,0.045819398,0.013377926
"(20, 30]",0.06680903,0.104026846,0.00033557,0.09609518,0.006991051,0.06442953,0.018791946,0.002348993
"(30, 40]",0.118669921,0.097324415,0.002341137,0.105247102,0,0.029765886,0.023076923,0.002006689
"(40, 50]",0.172696868,0.087583893,0.008389262,0.158102767,0.000557414,0.014765101,0.016778523,0.002684564
"(50, 60]",0.104636974,0.104362416,0.00033557,0.081147041,0.000559284,0.046644295,0.001006711,0.001342282
"(60, 70]",0.048647005,0.085284281,0,0.03131651,0.000557414,0.199331104,0.006020067,0.005685619
"(70, 80]",0.082367297,0.07885906,0.002684564,0.049420378,0.001118568,0.195637584,0.00738255,0.029194631
"(80, 90]",0.041793777,0.1,0.007023411,0.100061013,0.01090604,0.21442953,0.005033557,0
"(90, 100]",0.030404378,0.111371237,0.001006711,0.087868653,0.003344482,0.214046823,0,0.001337793
"(100, 110]",0.007016473,0.034899329,0.000671141,0.112263575,0.005313199,0.132214765,0,0
"(110, 120]",0.028981086,0.043288591,0.005016722,0.085417938,0.007270694,0.07114094,0.003691275,0.001342282
"(120, 130]",0.225600486,0.199331104,0.157718121,0.262997872,0.131270903,0.153846154,0.102006689,0.184280936
"(130, 140]",0.214460037,0.195973154,0.205369128,0.186089079,0.145134228,0.129530201,0.096979866,0.036577181
"(140, 150]",0.193410616,0.212416107,0.079264214,0.21171446,0.102069351,0.212751678,0.047315436,0.031543624
"(150, 160]",0.204621465,0.184615385,0.003691275,0.138035877,0.058249721,0.169565217,0.033779264,0.026755853
