Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity
"(0, 10]",0.288870246,0.00186428,0.001351351,0.131006006,0.003040541,0.023341523,0.033108108,0.135698198,0.004137931
"(10, 20]",0.295581655,0.003355705,0,0.187919463,0,0.013727883,0.032550336,0.195190157,0
"(20, 30]",0.198266219,0.003355705,0.00033557,0.215883669,0.02147651,0.003050641,0.022147651,0.145973154,0.002684564
"(30, 40]",0.279821628,0.007060572,0,0.174284653,0.091304348,0.007297051,0.02909699,0.144091416,0.001003344
"(40, 50]",0.207494407,0.013422819,0,0.197613721,0.10738255,0.009456986,0.037248322,0.164988814,0.009731544
"(50, 60]",0.237179487,0.005965697,0,0.176514307,0.044481605,0.005168744,0.004013378,0.19425864,0.011073826
"(60, 70]",0.26090604,0.023039762,0,0.209545116,0.054026846,0.003355705,0.064765101,0.157718121,0.001672241
"(70, 80]",0.279642058,0.003728561,0.00033557,0.205070843,0.055033557,0.012812691,0.063422819,0.141778523,0.004026846
"(80, 90]",0.281772575,0.002601263,0,0.228167967,0.006688963,0.013073883,0.071237458,0.12458194,0.006711409
"(90, 100]",0.202740492,0.004101417,0,0.210290828,0.006040268,0.007931666,0.091946309,0.09647651,0.005016722
"(100, 110]",0.163310962,0.005965697,0.00033557,0.138702461,0.010738255,0.014948139,0.042281879,0.130313199,0.00738255
"(110, 120]",0.207079153,0.003716091,0.001003344,0.280193237,0.02006689,0.007297051,0.111036789,0.149944259,0.00738255
"(120, 130]",0.313478747,0.019761372,0.038255034,0.29940343,0.203355705,0.053081147,0.114765101,0.188199105,0.111705686
"(130, 140]",0.347595078,0.012304251,0.001006711,0.278896346,0.098322148,0.085417938,0.096644295,0.159116331,0.104026846
"(140, 150]",0.239687848,0.008175399,0.001003344,0.208844296,0.111036789,0.004256613,0.07826087,0.12458194,0.101677852
"(150, 160]",0.167785235,0.006338553,0.001342282,0.229679344,0.104026846,0.012202563,0.088590604,0.106543624,0.081939799
"(160, 170]",0.208892617,0.003728561,0.003691275,0.284116331,0.053020134,0.019829164,0.095302013,0.078299776,0.019463087
"(170, 180]",0.212374582,0.001486436,0.001003344,0.147900409,0.0090301,0.007297051,0.122742475,0.087235229,0.09261745
"(180, 190]",0.224552573,0.006338553,0.001677852,0.157718121,0.00033557,0.00823673,0.01442953,0.08557047,0.131772575
"(190, 200]",0.195190157,0.000372856,0.00033557,0.144927536,0.008724832,0.012202563,0.028093645,0.058249721,0.019798658
"(200, 210]",0.253623188,0.009661836,0.000668896,0.177852349,0.017056856,0.055640012,0.026845638,0.13310962,0.055518395
"(210, 220]",0.244686801,0.059284116,0.000671141,0.179343773,0.019127517,0.054606467,0.001006711,0.158557047,0.058724832
"(220, 230]",0.265050167,0.104422148,0.001672241,0.202526942,0.036789298,0.078443296,0.017391304,0.147714604,0.005704698
"(230, 240]",0.218680089,0.039149888,0.001342282,0.264727815,0.02114094,0.028981086,0.019191919,0.126118568,0.016722408
"(240, 250]",0.257550336,0.070096943,0.000671141,0.160328113,0.05704698,0.007626602,0.010774411,0.129194631,0.010402685
"(250, 260]",0.239130435,0.067261241,0.001672241,0.111111111,0.094983278,0.00243235,0.005351171,0.098104794,0.05
"(260, 270]",0.147371365,0.01043997,0.000671141,0.130126771,0.068456376,0.00823673,0.014141414,0.046420582,0.007692308
"(270, 280]",0.155480984,0.002237136,0.001006711,0.126025354,0.062080537,0.004575961,0.020469799,0.130872483,0
"(280, 290]",0.156911929,0.005945745,0.002675585,0.073206986,0.095652174,0.001520219,0.040468227,0.154403567,0.075167785
"(290, 300]",0.147091723,0.027218494,0,0.037658464,0.023489933,0.00152532,0.053355705,0.077740492,0.020401338
