Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity
"(0, 10]",0.003818251,0.024679788,0.00373599,0.00486827,0.001249609,0.115673981,0.009195402,0.505841924
"(10, 20]",0.002601263,0.015506233,0,0.002508361,0,0.107023411,0.017465626,0.431103679
"(20, 30]",0.000372856,0.023184869,0,0.002516779,0,0.122025625,0.009694258,0.477516779
"(30, 40]",0.000372856,0.02736394,0,0.003914989,0,0.076619033,0.004459309,0.467892977
"(40, 50]",0.003716091,0.00976205,0.00152532,0.007246377,0,0.083282489,0.00186428,0.367785235
"(50, 60]",0.02087994,0.003965833,0,0.006152125,0,0.099450885,0.003728561,0.384563758
"(60, 70]",0.001486436,0.005776832,0,0.005574136,0,0.063545151,0.009661836,0.39264214
"(70, 80]",0,0.009456986,0,0.003635347,0,0.10585723,0.008948546,0.318120805
"(80, 90]",0,0.018608908,0,0.001677852,0,0.135753508,0.013795675,0.459060403
"(90, 100]",0,0.019762846,0,0.001393534,0,0.081483734,0.021924935,0.431103679
"(100, 110]",0,0.011592434,0,0,0,0.043319097,0.012304251,0.375167785
"(110, 120]",0,0.016473459,0,0.009228188,0,0.034472239,0.010812826,0.303691275
"(120, 130]",0.029357116,0.083003953,0.010372178,0.14632107,0.046518699,0.268166616,0.042363434,0.346822742
"(130, 140]",0.059284116,0.109517999,0.024710189,0.151006711,0.014948139,0.264185479,0.106636838,0.417785235
"(140, 150]",0.019388516,0.04575961,0.013073883,0.110738255,0.060402685,0.179377669,0.105145414,0.270469799
"(150, 160]",0.009661836,0.018242627,0.019829164,0.109810479,0.054423837,0.121009425,0.101449275,0.211371237
"(160, 170]",0.022744221,0.026845638,0.003355705,0.054250559,0.086638194,0.111348383,0.10738255,0.166107383
"(170, 180]",0.040268456,0.041488713,0.013377926,0.032438479,0.050945699,0.06528371,0.061687105,0.139464883
"(180, 190]",0.037904125,0.043478261,0.014948139,0.018394649,0.022195196,0.038005473,0.007084265,0.25033557
"(190, 200]",0.056674124,0.050640635,0.019219036,0.015939597,0.066198902,0.016778523,0.010812826,0.304697987
"(200, 210]",0.046079524,0.039525692,0.02006689,0.033444816,0.029188203,0.034660991,0.001114827,0.135117057
"(210, 220]",0.05033557,0.031421599,0.011592434,0.004753915,0.046064674,0.016778523,0.008948546,0.119798658
"(220, 230]",0.033929903,0.025930445,0.011553664,0.017058166,0.083587553,0.025625381,0.007084265,0.127516779
"(230, 240]",0.081382386,0.032836728,0.009456986,0.04793757,0.046214655,0.019458802,0.028985507,0.20367893
"(240, 250]",0.023489933,0.02928615,0.003965833,0.003914989,0.069859671,0.055216595,0.007457122,0.202013423
"(250, 260]",0.006711409,0.051860891,0,0.013143177,0.065588774,0.077791336,0.004847129,0.173825503
"(260, 270]",0.002972873,0.048342961,0,0.018952062,0.018546671,0.058376406,0.009290227,0.199665552
"(270, 280]",0,0.053691275,0,0.011744966,0.020744356,0.02776083,0.002237136,0.193624161
"(280, 290]",0.016032811,0.080841977,0.004256613,0.015100671,0.009456986,0.04057352,0.004101417,0.152013423
"(290, 300]",0.026012635,0.050167224,0.024710189,0.018115942,0.007905138,0.051383399,0.042735043,0.155852843
"(300, 310]",0.056301268,0.021964613,0.04057352,0.014821029,0.010677242,0.043929225,0.037658464,0.141946309
"(310, 320]",0.03616704,0.014032947,0.02249924,0.006152125,0.012507627,0.025015253,0.008948546,0.175167785
"(320, 330]",0.034931252,0.006688963,0.037217816,0.004180602,0.014290058,0.00243235,0.041248606,0.257859532
"(330, 340]",0.040641312,0.058877364,0.003355705,0.002796421,0.003660769,0.041183649,0.00186428,0.212416107
"(340, 350]",0.033816425,0.035877166,0.008209182,0.010869565,0.004256613,0.138948009,0.025269417,0.256856187
"(350, 360]",0.041014169,0.014032947,0.003050641,0.014821029,0.000915192,0.043014033,0.034302759,0.173154362
"(360, 370]",0.007457122,0.035082367,0.013422819,0.009228188,0.00152532,0.074130567,0.002237136,0.136241611
"(370, 380]",0.000371609,0.04743083,0.003648525,0.010590858,0.004256613,0.046214655,0.001114827,0.120735786
"(380, 390]",0.016032811,0.062538133,0,0.016778523,0.013117755,0.072300183,0,0.127852349
"(390, 400]",0.01901566,0.022879805,0,0.005592841,0.007626602,0.083282489,0.001118568,0.041275168
"(400, 410]",0.020810108,0.043478261,0,0.006410256,0.000608088,0.022195196,0.000371609,0.029431438
"(410, 420]",0.024608501,0.03752288,0.000305064,0.003635347,0,0.021659549,0.00186428,0.06442953
"(420, 430]",0.005219985,0.053691275,0,0.008389262,0,0.001830384,0.000372856,0.105369128
"(430, 440]",0.006317354,0.010641532,0,0.003065775,0,0.003648525,0.008918618,0.1090301
"(440, 450]",0.018269948,0.007016473,0.002135448,0.013982103,0,0.017693716,0,0.059060403
"(450, 460]",0.014914243,0.003660769,0.000912131,0.005033557,0,0.006101281,0,0.084228188
"(460, 470]",0.008547009,0.005776832,0.000610128,0.00780379,0.001216175,0.009121313,0.002601263,0.080267559
"(470, 480]",0.01597919,0.012769839,0.000608088,0.005295429,0,0.012769839,0.004847129,0.108695652
"(480, 490]",0.006338553,0.006711409,0,0.004753915,0,0.007931666,0.007060572,0.07114094
"(490, 500]",0,0.003355705,0,0.002796421,0.000305064,0.005186089,0.007829978,0.081543624
"(500, 510]",0,0.010641532,0,0.000557414,0,0.005776832,0.002601263,0.085953177
"(510, 520]",0.002982849,0.032031727,0.000915192,0.005313199,0,0.003965833,0.003728561,0.141610738
"(520, 530]",0,0.015863331,0.002128306,0.032718121,0,0.000915192,0.001491424,0.173489933
