Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity
"(0, 10]",0.313437404,0.33030303,0.532996633,0.486824324,0.381756757,0.35,0.16303132,0.152226968,0.173750932
"(10, 20]",0.357840146,0.318456376,0.44261745,0.614765101,0.390482001,0.404362416,0.169463087,0.150396583,0.101789709
"(20, 30]",0.341976815,0.269127517,0.419127517,0.517114094,0.379804759,0.297651007,0.209451902,0.165954851,0.113721104
"(30, 40]",0.352690787,0.276588629,0.475585284,0.454180602,0.303739739,0.208695652,0.222408027,0.186074795,0.067261241
"(40, 50]",0.433496034,0.197315436,0.546308725,0.463758389,0.273642465,0.283892617,0.223434004,0.162294082,0.103281133
"(50, 60]",0.421708726,0.246644295,0.546644295,0.523076923,0.312690665,0.281270903,0.218680089,0.220866382,0.114466816
"(60, 70]",0.4609518,0.330434783,0.481605351,0.459395973,0.338704773,0.32147651,0.219342252,0.202797203,0.117428465
"(70, 80]",0.424649176,0.302348993,0.373825503,0.355369128,0.403294692,0.308389262,0.218400447,0.239780354,0.124161074
"(80, 90]",0.352994831,0.328093645,0.318729097,0.446153846,0.295226513,0.286956522,0.185061315,0.202797203,0.058165548
"(90, 100]",0.37614399,0.329194631,0.283557047,0.632885906,0.244661379,0.257718121,0.213926174,0.143990238,0.045707915
"(100, 110]",0.416107383,0.224161074,0.291610738,0.55704698,0.299877974,0.309060403,0.208612975,0.138499085,0.109619687
"(110, 120]",0.309212527,0.239464883,0.327424749,0.57458194,0.266646397,0.32541806,0.212095875,0.15597446,0.072835377
"(120, 130]",0.418852959,0.316107383,0.459731544,0.561744966,0.317876754,0.519127517,0.264821029,0.312690665,0.294929157
"(130, 140]",0.50152532,0.337248322,0.478187919,0.468120805,0.378279439,0.422147651,0.227069351,0.287065284,0.227442207
"(140, 150]",0.398905442,0.262876254,0.467892977,0.604682274,0.343569474,0.277257525,0.168060201,0.204317422,0.283166109
"(150, 160]",0.368822453,0.247651007,0.484228188,0.529865772,0.26876144,0.37147651,0.212248322,0.193105552,0.305369128
"(160, 170]",0.456375839,0.308053691,0.454697987,0.579194631,0.38438072,0.40033557,0.242449664,0.251067724,0.221103654
"(170, 180]",0.34965035,0.327759197,0.464548495,0.394314381,0.357859532,0.340802676,0.239130435,0.219823655,0.191007061
"(180, 190]",0.439597315,0.339597315,0.438590604,0.523825503,0.295912142,0.310402685,0.259228188,0.140329469,0.192766592
"(190, 200]",0.302928615,0.363422819,0.444966443,0.573244147,0.298352654,0.388255034,0.238534676,0.221781574,0.189038031
"(200, 210]",0.404682274,0.325083612,0.505351171,0.559395973,0.276071754,0.299331104,0.176700111,0.121313469,0.162764771
"(210, 220]",0.474374619,0.236577181,0.436577181,0.641946309,0.351433801,0.326510067,0.210718294,0.194935937,0.168903803
"(220, 230]",0.432654302,0.28361204,0.464548495,0.520735786,0.263605959,0.336120401,0.268456376,0.250457596,0.150633855
"(230, 240]",0.294691885,0.333557047,0.419127517,0.518120805,0.300488103,0.316442953,0.287346711,0.166311949,0.138238573
"(240, 250]",0.284319707,0.342281879,0.394630872,0.438255034,0.238255034,0.32852349,0.158557047,0.152532032,0.21103654
"(250, 260]",0.36333232,0.256521739,0.431772575,0.430769231,0.248099726,0.357525084,0.231047938,0.138643965,0.192493497
"(260, 270]",0.251372788,0.244630872,0.40033557,0.435234899,0.279743746,0.337583893,0.236577181,0.136973764,0.202087994
"(270, 280]",0.391702257,0.276845638,0.437583893,0.509395973,0.284929835,0.309731544,0.229026846,0.151311775,0.188665175
"(280, 290]",0.293706294,0.202675585,0.390301003,0.627759197,0.280936455,0.32173913,0.236622074,0.134691396,0.174284653
"(290, 300]",0.326418548,0.215100671,0.361409396,0.57147651,0.284014643,0.342281879,0.216442953,0.19066504,0.177852349
"(300, 310]",0.300183038,0.256375839,0.356375839,0.394966443,0.24923734,0.252348993,0.264821029,0.181818182,0.168903803
"(310, 320]",0.28458498,0.192976589,0.305016722,0.499665552,0.359683794,0.263879599,0.219620959,0.175433262,0.149386845
"(320, 330]",0.28676022,0.222818792,0.324832215,0.494966443,0.269066504,0.279865772,0.203020134,0.157413057,0.18344519
"(330, 340]",0.293471629,0.275838926,0.363758389,0.441275168,0.261134838,0.310402685,0.238534676,0.210799268,0.184936614
"(340, 350]",0.316509577,0.333444816,0.293979933,0.43812709,0.386743691,0.259197324,0.225473802,0.150501672,0.159048681
"(350, 360]",0.227882855,0.290939597,0.338590604,0.373154362,0.309029896,0.258724832,0.207494407,0.172971324,0.214392245
"(360, 370]",0.262997872,0.400334448,0.36722408,0.585953177,0.236850106,0.283946488,0.216442953,0.133007932,0.20246085
"(370, 380]",0.258084198,0.411409396,0.354362416,0.459731544,0.245881635,0.209060403,0.210144928,0.152325935,0.157190635
"(380, 390]",0.234594265,0.40738255,0.35738255,0.547315436,0.292556437,0.31409396,0.207214765,0.165649786,0.159582401
"(390, 400]",0.254484646,0.346488294,0.309364548,0.446488294,0.278808148,0.322408027,0.192865106,0.15354211,0.172054998
"(400, 410]",0.264490543,0.411073826,0.260402685,0.302684564,0.349603417,0.332885906,0.188199105,0.120805369,0.195749441
"(410, 420]",0.25747407,0.33557047,0.35033557,0.360067114,0.250457596,0.275167785,0.208892617,0.134533252,0.19388516
"(420, 430]",0.272119185,0.336789298,0.436789298,0.437123746,0.220735786,0.343812709,0.297380156,0.149589541,0.17131178
"(430, 440]",0.312385601,0.27147651,0.362080537,0.467114094,0.311165345,0.409395973,0.247203579,0.24100061,0.127143922
"(440, 450]",0.272422209,0.332550336,0.345637584,0.39295302,0.243441123,0.301006711,0.184563758,0.240390482,0.15212528
"(450, 460]",0.311036789,0.236454849,0.353846154,0.452842809,0.328367285,0.356856187,0.18115942,0.191851627,0.111111111
"(460, 470]",0.290115924,0.337248322,0.402013423,0.530201342,0.300488103,0.357718121,0.215044743,0.23276388,0.083519761
"(470, 480]",0.238255034,0.346308725,0.396644295,0.357718121,0.312385601,0.355033557,0.178411633,0.116229408,0.114455593
"(480, 490]",0.219823655,0.293311037,0.304013378,0.349832776,0.22347218,0.31638796,0.174470457,0.101550623,0.04847129
"(490, 500]",0.235509457,0.206711409,0.341610738,0.487248322,0.134533252,0.336577181,0.163322185,0.187899057,0.100334448
"(500, 510]",0.31833384,0.28361204,0.331103679,0.346153846,0.196716327,0.401337793,0.149608501,0.141414141,0.213273676
"(510, 520]",0.297132398,0.323154362,0.276510067,0.392281879,0.239780354,0.425167785,0.174217002,0.127394345,0.15585384
"(520, 530]",0.248627212,0.282608696,0.32852349,0.472147651,0.345637584,0.373244147,0.233780761,0.21222256,0.141583055
