Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity
"(0, 10]",0.239925023,0.107560137,0.423630137,0.346391753,0.40137457,0.444137931,0.367241379,0.271907216
"(10, 20]",0.31346914,0.100668896,0.426510067,0.364882943,0.426755853,0.362876254,0.313712375,0.140886288
"(20, 30]",0.277913362,0.09261745,0.427181208,0.346644295,0.473154362,0.370469799,0.23590604,0.303691275
"(30, 40]",0.330384381,0.1,0.525083612,0.313758389,0.462751678,0.363879599,0.328428094,0.209866221
"(40, 50]",0.231985406,0.091275168,0.43557047,0.251170569,0.35819398,0.266778523,0.334228188,0.143036913
"(50, 60]",0.215985357,0.116442953,0.527181208,0.293959732,0.44966443,0.320805369,0.327516779,0.219379195
"(60, 70]",0.285801155,0.117725753,0.457525084,0.278929766,0.386622074,0.35451505,0.355852843,0.255434783
"(70, 80]",0.303843807,0.092281879,0.516107383,0.416442953,0.414765101,0.30738255,0.234563758,0.248741611
"(80, 90]",0.322147651,0.085234899,0.553177258,0.365771812,0.383892617,0.285234899,0.267785235,0.222734899
"(90, 100]",0.30951657,0.071571906,0.503020134,0.396655518,0.448160535,0.297993311,0.336120401,0.220735786
"(100, 110]",0.222391702,0.101342282,0.505704698,0.347651007,0.413087248,0.301342282,0.332214765,0.170721477
"(110, 120]",0.257779134,0.117785235,0.427759197,0.363087248,0.424496644,0.321812081,0.331208054,0.217281879
"(120, 130]",0.325022803,0.207692308,0.554026846,0.609364548,0.56722408,0.365551839,0.475585284,0.366638796
"(130, 140]",0.33709579,0.147986577,0.512416107,0.561409396,0.405369128,0.36409396,0.49261745,0.250419463
"(140, 150]",0.258084198,0.132550336,0.571906355,0.456040268,0.523489933,0.336577181,0.42852349,0.282718121
"(150, 160]",0.256004865,0.116722408,0.535234899,0.402006689,0.34548495,0.324414716,0.356521739,0.300167224
"(160, 170]",0.263575351,0.118120805,0.513422819,0.305704698,0.335234899,0.327516779,0.32114094,0.231543624
"(170, 180]",0.287980476,0.10704698,0.511036789,0.30704698,0.515771812,0.371812081,0.319063545,0.220735786
"(180, 190]",0.318637884,0.10735786,0.509060403,0.308026756,0.357190635,0.315719064,0.330872483,0.224832215
"(190, 200]",0.285234899,0.098657718,0.526845638,0.330536913,0.335234899,0.309395973,0.336912752,0.234479866
"(200, 210]",0.249011858,0.086956522,0.484949833,0.347157191,0.468896321,0.304682274,0.372909699,0.269648829
