Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity
"(0, 10]",0.274576271,0.172881356,0.071186441,0.211710324,0.146186441,0.10039818,0.066837315,0.04591995,0.051982148
"(10, 20]",0.178767541,0.166778523,0.026845638,0.263575351,0.179110738,0.099832215,0.039855072,0.076923077,0.062001544
"(20, 30]",0.207748627,0.187583893,0.045986622,0.125686394,0.132550336,0.079988852,0.035794183,0.10585723,0.028910687
"(30, 40]",0.276375798,0.218394649,0.064597315,0.149589541,0.193561873,0.050055928,0.062987737,0.10367893,0.041934654
"(40, 50]",0.291031117,0.170805369,0.089485459,0.103416718,0.132550336,0.058165548,0.030760626,0.080231849,0.111512648
"(50, 60]",0.304955914,0.252842809,0.059643255,0.087248322,0.14590301,0.072463768,0.058724832,0.114704088,0.141972122
"(60, 70]",0.441732764,0.236241611,0.063199105,0.100638492,0.07885906,0.030480984,0.084169454,0.075706902,0.038075637
"(70, 80]",0.501830384,0.240939597,0.078020134,0.028065894,0.132969799,0.024888143,0.061800895,0.031421599,0.069179143
"(80, 90]",0.385527516,0.256187291,0.078595318,0.040878585,0.132943144,0.013656633,0.079418345,0.074435631,0.044656686
"(90, 100]",0.429225137,0.191275168,0.048657718,0.057464275,0.207214765,0.039709172,0.082218506,0.105503192,0.040905583
"(100, 110]",0.413056742,0.188255034,0.062080537,0.028676022,0.167785235,0.01901566,0.069071588,0.103721782,0.039494063
"(110, 120]",0.36576467,0.171906355,0.074136009,0.041793777,0.176839465,0.01393534,0.012863535,0.092434411,0.016262261
"(120, 130]",0.291946309,0.190939597,0.068232662,0.08604439,0.122483221,0.013143177,0.020345596,0.070234114,0.03061487
"(130, 140]",0.284624771,0.173154362,0.044742729,0.085112874,0.105704698,0.00810962,0.0299217,0.123245882,0.074341766
"(140, 150]",0.283064761,0.186956522,0.038740245,0.141684403,0.162207358,0.017001115,0.07885906,0.094264796,0.048786784
"(150, 160]",0.321537523,0.167114094,0.018176734,0.068029286,0.149748322,0.035514541,0.060479376,0.096685923,0.071520453
"(160, 170]",0.366076876,0.220134228,0.045150502,0.057352044,0.157298658,0.059643255,0.068512304,0.097010372,0.076148684
"(170, 180]",0.308908483,0.156187291,0.044463087,0.085436303,0.118311037,0.04614094,0.163600892,0.113104287,0.049395421
"(180, 190]",0.326418548,0.07114094,0.024608501,0.161073826,0.131291946,0.046700224,0.13590604,0.136973764,0.054465669
"(190, 200]",0.257829127,0.116053512,0.074136009,0.165344722,0.066053512,0.100055741,0.07746085,0.099145821,0.03871967
"(200, 210]",0.290420988,0.177181208,0.090044743,0.096685923,0.09647651,0.043624161,0.006410256,0.109151718,0.013377926
"(210, 220]",0.273947529,0.161073826,0.11549217,0.096705308,0.151006711,0.031319911,0.019854586,0.090604027,0.005937016
"(220, 230]",0.312861052,0.136120401,0.101170569,0.061928005,0.112458194,0.025362319,0.060402685,0.112873703,0.006711409
"(230, 240]",0.323672971,0.105704698,0.082214765,0.128002432,0.090184564,0.010626398,0.024526198,0.096989967,0.020324157
"(240, 250]",0.341976815,0.07885906,0.065436242,0.143685174,0.052852349,0.01901566,0.006711409,0.120805369,0.025554982
"(250, 260]",0.298570994,0.084615385,0.029821628,0.196766321,0.081103679,0.021460424,0.007550336,0.116534472,0.056530718
"(260, 270]",0.28676022,0.083557047,0.06655481,0.267254485,0.063758389,0.009787472,0.00613155,0.125570082,0.019809622
"(270, 280]",0.228798048,0.094966443,0.034116331,0.201647346,0.049077181,0.025167785,0.004474273,0.043014033,0.040010325
"(280, 290]",0.279112192,0.113712375,0.040133779,0.212830648,0.100334448,0.011705686,0.011465324,0.032946919,0.025813113
"(290, 300]",0.255338621,0.174832215,0.04753915,0.169615619,0.11409396,0.008668904,0.0409699,0.072058376,0.015693337
"(300, 310]",0.287370348,0.224161074,0.346989967,0.215985357,0.68204698,0.521252796,0.549776286,0.534472239,0.388745483
"(310, 320]",0.759197324,0.836120401,0.781879195,0.252356339,0.836120401,0.738851728,0.773132664,0.744603223,0.862104451
"(320, 330]",0.687309335,0.736577181,0.738534676,0.446308725,0.769295302,0.740771812,0.647091723,0.686394143,0.753742901
"(330, 340]",0.792338097,0.624080268,0.785953177,0.872178157,0.652173913,0.802396878,0.632829978,0.76876144,0.688435725
"(340, 350]",0.782184259,0.701342282,0.819630872,0.72027972,0.791526846,0.754194631,0.644648829,0.779872302,0.719320813
"(350, 360]",0.806589384,0.693624161,0.774608501,0.73947529,0.738255034,0.737975391,0.635626398,0.74252593,0.729994837
"(360, 370]",0.789601703,0.722742475,0.765050167,0.777608298,0.75041806,0.77090301,0.674217002,0.79804759,0.749612803
"(370, 380]",0.686699207,0.758053691,0.738814318,0.790817878,0.713506711,0.795302013,0.703734671,0.776223776,0.796758426
"(380, 390]",0.759609518,0.745302013,0.73238255,0.732153752,0.659395973,0.759787472,0.637863535,0.691580232,0.774909654
"(390, 400]",0.794770447,0.747157191,0.76477146,0.660158633,0.714046823,0.830824972,0.721196868,0.727882855,0.788074342
"(400, 410]",0.69066504,0.75033557,0.79893736,0.757373062,0.735318792,0.815436242,0.650501672,0.75646093,0.81862619
"(410, 420]",0.747101891,0.615436242,0.740212528,0.819402074,0.745385906,0.805928412,0.681208054,0.763575351,0.808724832
"(420, 430]",0.695652174,0.675250836,0.661371237,0.775919732,0.768394649,0.796265329,0.729865772,0.691275168,0.76716572
"(430, 440]",0.656802929,0.683892617,0.790548098,0.693105552,0.799077181,0.767337808,0.75613155,0.743995135,0.776948804
"(440, 450]",0.574740696,0.755369128,0.805183946,0.786150092,0.742030201,0.708333333,0.70106264,0.684868822,0.744966443
"(450, 460]",0.799635147,0.748829431,0.791107383,0.748859836,0.673076923,0.774804905,0.622909699,0.700820918,0.800102907
"(460, 470]",0.714154973,0.772818792,0.759228188,0.748627212,0.731963087,0.822427293,0.675055928,0.750457596,0.770263294
"(470, 480]",0.634539374,0.728762542,0.667781494,0.75899939,0.683305369,0.827201784,0.762304251,0.71995119,0.732576149
"(480, 490]",0.705308115,0.699328859,0.683724832,0.704469444,0.721153846,0.793624161,0.721014493,0.737002128,0.738101364
"(490, 500]",0.615924344,0.609395973,0.72147651,0.64643075,0.66442953,0.723713647,0.768736018,0.702562538,0.754259164
"(500, 510]",0.584068106,0.573578595,0.696209588,0.761439902,0.589882943,0.725752508,0.678929766,0.724536333,0.748580279
"(510, 520]",0.5976205,0.579530201,0.775727069,0.712374582,0.770973154,0.760626398,0.710290828,0.761134838,0.743761255
