Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity
"(0, 10]",0.488135593,0.456086287,0.356779661,0.380893683,0.064562002,0.124418244,0.106484642,0.506981074
"(10, 20]",0.479530201,0.416412447,0.395693512,0.343197071,0.169183445,0.102462755,0.155518395,0.451809061
"(20, 30]",0.468791946,0.409242931,0.369686801,0.438987187,0.196209588,0.184868822,0.140939597,0.38590604
"(30, 40]",0.472240803,0.292861501,0.32580825,0.411371237,0.274049217,0.173913043,0.110033445,0.434174521
"(40, 50]",0.394630872,0.419768151,0.301733781,0.24252593,0.30033557,0.136973764,0.1,0.371262965
"(50, 60]",0.357190635,0.339312861,0.262024609,0.243441123,0.284280936,0.169005491,0.128187919,0.47895058
"(60, 70]",0.298993289,0.349298353,0.294593088,0.32715111,0.326342282,0.200364853,0.118729097,0.456065673
"(70, 80]",0.280536913,0.400549115,0.268736018,0.291336181,0.287472036,0.138804149,0.087248322,0.491153142
"(80, 90]",0.284280936,0.447856491,0.348434004,0.220561318,0.217670011,0.115314216,0.080872483,0.510067114
"(90, 100]",0.264765101,0.445698597,0.281772575,0.253572514,0.20917226,0.083916084,0.018729097,0.47826087
"(100, 110]",0.173489933,0.384075656,0.325223714,0.302928615,0.211129754,0.086943258,0.016778523,0.44447834
"(110, 120]",0.19632107,0.464274856,0.304809843,0.263270287,0.236622074,0.068639414,0.031879195,0.514643075
"(120, 130]",0.153691275,0.488102502,0.322185061,0.308908483,0.317393736,0.070234114,0.044481605,0.429917908
"(130, 140]",0.202013423,0.486577181,0.263982103,0.359670531,0.353747204,0.094874924,0.033892617,0.458511287
"(140, 150]",0.19632107,0.411067194,0.259197324,0.281240499,0.327480491,0.071384991,0.091946309,0.543319097
"(150, 160]",0.141275168,0.405125076,0.322986577,0.341976815,0.333892617,0.068105807,0.154849498,0.51048951
"(160, 170]",0.179865772,0.435998784,0.315715884,0.323367907,0.313823857,0.077181208,0.171812081,0.49176327
"(170, 180]",0.241137124,0.37461867,0.335284281,0.356035269,0.275447427,0.058072362,0.137792642,0.513833992
"(180, 190]",0.279194631,0.386821232,0.237695749,0.312995729,0.219519016,0.035387431,0.10738255,0.521354484
"(190, 200]",0.243143813,0.287321374,0.252237136,0.231543624,0.174470457,0.032031727,0.14261745,0.564978646
"(200, 210]",0.168456376,0.404820012,0.296265329,0.181514138,0.125279642,0.011553664,0.07826087,0.59805412
"(210, 220]",0.169127517,0.39414277,0.309284116,0.189749847,0.120246085,0.068639414,0.053355705,0.526235509
