Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity
"(0, 10]",0.009861325,0.001232666,0.012106538,0.085039818,0.013651877,0.095183921,0.093856655
"(10, 20]",0.007931666,0,0.042186002,0.090044743,0.020979021,0.165366035,0.086120401
"(20, 30]",0,0,0.037631831,0.142697882,0.077486272,0.077181208,0.12360179
"(30, 40]",0,0,0.043717152,0.08557047,0.062328975,0.164622817,0.108695652
"(40, 50]",0.000915192,0,0.014621285,0.060961969,0.022574741,0.092095451,0.116051454
"(50, 60]",0.000608088,0,0.014094601,0.078037904,0.065588774,0.18158091,0.127796421
"(60, 70]",0.000610128,0,0.002396932,0.109619687,0.01368197,0.253437384,0.044593088
"(70, 80]",0,0,0.004314477,0.071868009,0.008541794,0.247203579,0.042225951
"(80, 90]",0.002128306,0,0.001194458,0.083054627,0.007016473,0.239373602,0.019574944
"(90, 100]",0,0,0.002876318,0.098154362,0.007905138,0.162764771,0.031493868
"(100, 110]",0,0,0.035234899,0.06795302,0.006101281,0.158090977,0.068232662
"(110, 120]",0,0,0.048256092,0.090022297,0.012812691,0.214019389,0.049776286
"(120, 130]",0.001220256,0,0.023729626,0.033557047,0.007601095,0.213303605,0.045429208
"(130, 140]",0.002135448,0,0.003355705,0.040268456,0.007016473,0.183072334,0.012024609
"(140, 150]",0.000912131,0,0.0649785,0.071627648,0.001220256,0.12639821,0.036073826
"(150, 160]",0,0,0.044103547,0.043903803,0.004256613,0.132664437,0.033166109
"(160, 170]",0,0,0.011025887,0.046544036,0.011897498,0.179343773,0.01901566
"(170, 180]",0.005472788,0,0.005255614,0.070469799,0.01124962,0.146785582,0.040133779
"(180, 190]",0.001220256,0,0.02325024,0.09787472,0.009456986,0.171886652,0.091442953
"(190, 200]",0,0,0.036072623,0.067725753,0.006406345,0.157718121,0.016498881
"(200, 210]",0.001220256,0,0.027085331,0.061241611,0.071754333,0.162764771,0.003065775
"(210, 220]",0.000915192,0,0.008149569,0.072706935,0.024405125,0.115212528,0.002516779
"(220, 230]",0.007905138,0,0.010989011,0.040133779,0.022879805,0.125652498,0.002796421
"(230, 240]",0.005796217,0,0.0105465,0.035794183,0.018546671,0.1434411,0.005016722
"(240, 250]",0.010372178,0,0.012943432,0.056767338,0.00152532,0.080909769,0.015100671
"(250, 260]",0.004864701,0,0.008838987,0.066332219,0,0.069724087,0.012024609
"(260, 270]",0.001220256,0,0.050814957,0.071868009,0.004560657,0.1475288,0.001672241
