Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity
"(0, 10]",0.642655367,0.563389831,0.338366718,0.393220339,0.557244803,0.305926156,0.360921502,0.583902162
"(10, 20]",0.621085011,0.420134228,0.396583282,0.436546675,0.59456986,0.277896017,0.350613155,0.574136009
"(20, 30]",0.579418345,0.495317726,0.4743083,0.542708969,0.52812405,0.344417328,0.331655481,0.596756152
"(30, 40]",0.620401338,0.575503356,0.301708359,0.49680754,0.56833435,0.353602919,0.347268673,0.584169454
"(40, 50]",0.688758389,0.523825503,0.359365467,0.439902379,0.510372178,0.38438072,0.277404922,0.526006711
"(50, 60]",0.680602007,0.506354515,0.522043174,0.35814521,0.608999696,0.423123856,0.253914989,0.497762864
"(60, 70]",0.694910515,0.509731544,0.459121415,0.381878991,0.452104942,0.327455154,0.209308807,0.524247492
"(70, 80]",0.6901566,0.487583893,0.486272117,0.412446614,0.534167175,0.27699817,0.220917226,0.517897092
"(80, 90]",0.760033445,0.548160535,0.435086652,0.438682123,0.577379143,0.346247712,0.256711409,0.41442953
"(90, 100]",0.768456376,0.510402685,0.52104942,0.434782609,0.611348383,0.330799635,0.237179487,0.391583055
"(100, 110]",0.715883669,0.604697987,0.488407566,0.344112264,0.626601586,0.420378279,0.322706935,0.529082774
"(110, 120]",0.712931996,0.521070234,0.506232898,0.387736425,0.594101551,0.361195851,0.264821029,0.485178971
"(120, 130]",0.680089485,0.54295302,0.443258084,0.466099118,0.663209274,0.240194588,0.28483835,0.525641026
"(130, 140]",0.631991051,0.674496644,0.389566809,0.437766931,0.632092739,0.386821232,0.134228188,0.499440716
"(140, 150]",0.668617614,0.600668896,0.43326239,0.443599878,0.533596838,0.306589384,0.192393736,0.467281879
"(150, 160]",0.670861298,0.611073826,0.359670531,0.463392312,0.556436852,0.314077227,0.323299889,0.553511706
"(160, 170]",0.630872483,0.528093645,0.326543022,0.416717511,0.60048647,0.343197071,0.177572707,0.462527964
"(170, 180]",0.641304348,0.521812081,0.325503356,0.386743691,0.565588774,0.271815141,0.253344482,0.420568562
"(180, 190]",0.615771812,0.524161074,0.478645516,0.404820012,0.562843197,0.299267846,0.27852349,0.415268456
"(190, 200]",0.649108138,0.518394649,0.461538462,0.386821232,0.620857403,0.3438072,0.333892617,0.45106264
"(200, 210]",0.616610738,0.530536913,0.458206223,0.453329279,0.603111653,0.360291882,0.268394649,0.434782609
"(210, 220]",0.571868009,0.608724832,0.421598536,0.447528981,0.535387431,0.230628432,0.286073826,0.491331096
"(220, 230]",0.698160535,0.464548495,0.417756157,0.411531422,0.624809973,0.218730933,0.333612975,0.42533557
"(230, 240]",0.649608501,0.426174497,0.338010982,0.470355731,0.617754728,0.220431742,0.309643255,0.536789298
"(240, 250]",0.669463087,0.480536913,0.382550336,0.547895058,0.452104942,0.168700427,0.324105145,0.573266219
"(250, 260]",0.707079153,0.465217391,0.333231985,0.520439292,0.445728185,0.096705308,0.266498881,0.644295302
"(260, 270]",0.706375839,0.410067114,0.377059182,0.472484038,0.59456986,0.174521131,0.299331104,0.451505017
"(270, 280]",0.614373602,0.452684564,0.464307505,0.466748017,0.591519219,0.248017084,0.332494407,0.542505593
"(280, 290]",0.704013378,0.395652174,0.416235938,0.495895409,0.508969292,0.230323368,0.297259508,0.491610738
"(290, 300]",0.584451902,0.413087248,0.469493594,0.496034167,0.591214155,0.190635452,0.290133779,0.470178372
"(300, 310]",0.607102908,0.597658863,0.513833992,0.472544234,0.573825503,0.464002441,0.586129754,0.670861298
"(310, 320]",0.847826087,0.729865772,0.647345943,0.576771055,0.581027668,0.616296747,0.66722408,0.831939799
"(320, 330]",0.709731544,0.79966443,0.616839536,0.601586333,0.562233069,0.574130567,0.598154362,0.834451902
"(330, 340]",0.64632107,0.705351171,0.676497416,0.722391702,0.802979629,0.601281269,0.530201342,0.791387025
"(340, 350]",0.732102908,0.797986577,0.759304454,0.700820918,0.714765101,0.69291578,0.640189521,0.773411371
"(350, 360]",0.714205817,0.766778523,0.801098231,0.579926785,0.666259915,0.650701647,0.631152125,0.763143177
"(360, 370]",0.741638796,0.719397993,0.74916388,0.636973764,0.645788994,0.688224527,0.736856823,0.812080537
"(370, 380]",0.677013423,0.782214765,0.748627212,0.70173305,0.600366077,0.62785041,0.741638796,0.800167224
"(380, 390]",0.650727069,0.711409396,0.787065284,0.629042099,0.645515558,0.691580232,0.810123043,0.775167785
"(390, 400]",0.60367893,0.764214047,0.747339617,0.720866382,0.62541806,0.750457596,0.711129754,0.775447427
"(400, 410]",0.568512304,0.837919463,0.731848688,0.630890848,0.56680903,0.701124962,0.705128205,0.802675585
"(410, 420]",0.66163311,0.856711409,0.567419158,0.658633313,0.616534472,0.602501525,0.678691275,0.773489933
"(420, 430]",0.624303233,0.733444816,0.637275768,0.63180298,0.682578291,0.678157413,0.620246085,0.810402685
"(430, 440]",0.628914989,0.719798658,0.707138499,0.586943258,0.651006711,0.783520827,0.636008919,0.764214047
"(440, 450]",0.624720358,0.808026756,0.599574339,0.625686394,0.673886516,0.764490543,0.665268456,0.769295302
"(450, 460]",0.64548495,0.742281879,0.755643685,0.652782001,0.630282761,0.641532381,0.632107023,0.724080268
"(460, 470]",0.620246085,0.723489933,0.686699207,0.596705308,0.621720561,0.764795607,0.650167785,0.75
